"Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Date","Result","How out","Fielder","Bowler"
"8","22","16","1","0","50","3","caught","1","v New Zealand","Dambulla","25-Aug-10","W","caught","GJ Hopkins","TG Southee"
"118","193","121","11","1","97.52","3","caught","2","v Australia","Visakhapatnam","20-Oct-10","W","caught","JR Hopes","JW Hastings"
"105","162","104","10","0","100.96","3","caught","1","v New Zealand","Guwahati","28-Nov-10","W","caught","JM How","AJ McKay"
"64","78","73","8","0","87.67","3","caught","2","v New Zealand","Jaipur","1-Dec-10","W","caught","LRPL Taylor","AJ McKay"
"63","83","70","6","2","90","3","not out","2","v New Zealand","Vadodara","4-Dec-10","W","not out","",""
"0","3","2","0","0","0","3","caught","2","v New Zealand","Bengaluru","7-Dec-10","W","caught","KD Mills","AJ McKay"
"2","10","8","0","0","25","3","caught","2","v New Zealand","Chennai","10-Dec-10","W","caught","LRPL Taylor","DL Vettori"
"22","43","34","1","0","64.7","3","run out","1","v South Africa","Johannesburg","15-Jan-11","W","run out","",""
"28","51","41","5","0","68.29","3","caught","2","v South Africa","Cape Town","18-Jan-11","W","caught","AB de Villiers","M Morkel"
"100","113","83","8","2","120.48","4","not out","1","v Bangladesh","Dhaka","19-Feb-11","W","not out","",""
"34","82","53","3","0","64.15","4","run out","2","v Ireland","Bengaluru","6-Mar-11","W","run out","",""
"12","16","20","2","0","60","5","bowled","2","v Netherlands","Delhi","9-Mar-11","W","bowled","","PW Borren"
"59","128","76","5","0","77.63","3","bowled","1","v West Indies","Chennai","20-Mar-11","W","bowled","","R Rampaul"
"24","38","33","1","0","72.72","4","caught","2","v Australia","Ahmedabad","24-Mar-11","W","caught","MJ Clarke","DJ Hussey"
"9","20","21","0","0","42.85","4","caught","1","v Pakistan","Mohali","30-Mar-11","W","caught","Umar Akmal","Wahab Riaz"
"35","69","49","4","0","71.42","4","caught","2","v Sri Lanka","Mumbai","2-Apr-11","W","caught","TM Dilshan","TM Dilshan"
"2","5","8","0","0","25","3","caught","2","v West Indies","Port of Spain","6-Jun-11","W","caught","CS Baugh","R Rampaul"
"81","118","103","6","1","78.64","3","caught","2","v West Indies","Port of Spain","8-Jun-11","W","caught","KA Pollard","D Bishoo"
"0","1","1","0","0","0","3","lbw","2","v West Indies","North Sound","11-Jun-11","W","lbw","","DJG Sammy"
"37","70","63","0","0","58.73","4","caught","1","v England","Hyderabad (Deccan)","14-Oct-11","W","caught","KP Pietersen","SR Patel"
"112","134","98","16","0","114.28","4","not out","2","v England","Delhi","17-Oct-11","W","not out","",""
"35","42","30","5","0","116.66","4","lbw","2","v England","Mohali","20-Oct-11","W","lbw","","GP Swann"
"86","-","99","11","0","86.86","4","not out","2","v England","Mumbai","23-Oct-11","W","not out","",""
"0","5","5","0","0","0","3","bowled","1","v England","Kolkata","25-Oct-11","W","bowled","","ST Finn"
"3","13","6","0","0","50","4","bowled","2","v West Indies","Cuttack","29-Nov-11","W","bowled","","KAJ Roach"
"117","154","123","14","0","95.12","4","caught","2","v West Indies","Visakhapatnam","2-Dec-11","W","caught","D Ramdin","R Rampaul"
"23","15","11","3","0","209.09","6","not out","1","v West Indies","Indore","8-Dec-11","W","not out","",""
"80","99","85","5","0","94.11","5","caught","1","v West Indies","Chennai","11-Dec-11","W","caught","MN Samuels","A Martin"
"77","156","94","8","1","81.91","3","run out","2","v Sri Lanka","Perth","8-Feb-12","W","run out","",""
"18","41","28","1","0","64.28","3","caught","2","v Australia","Adelaide","12-Feb-12","W","caught","PJ Forrest","CJ McKay"
"133","133","86","16","2","154.65","4","not out","2","v Sri Lanka","Hobart","28-Feb-12","W","not out","",""
"108","148","120","7","0","90","3","caught","1","v Sri Lanka","Dhaka","13-Mar-12","W","caught","HDRL Thirimanne","MF Maharoof"
"183","211","148","22","1","123.64","3","caught","2","v Pakistan","Dhaka","18-Mar-12","W","caught","Mohammad Hafeez","Umar Gul"
"106","158","113","9","0","93.8","3","caught","1","v Sri Lanka","Hambantota","21-Jul-12","W","caught","SMSM Senanayake (sub)","NLTC Perera"
"38","80","65","2","0","58.46","3","caught","2","v Sri Lanka","Colombo (RPS)","28-Jul-12","W","caught","HMRKB Herath","HMRKB Herath"
"128","187","119","12","1","107.56","3","not out","2","v Sri Lanka","Colombo (RPS)","31-Jul-12","W","not out","",""
"23","42","35","2","0","65.71","3","lbw","1","v Sri Lanka","Pallekele","4-Aug-12","W","lbw","","N Pradeep"
"7","25","17","1","0","41.17","3","caught","1","v Pakistan","Delhi","6-Jan-13","W","caught","Younis Khan","Junaid Khan"
"37","86","54","1","1","68.51","3","caught","1","v England","Kochi","15-Jan-13","W","caught","IR Bell","CR Woakes"
"77","110","79","9","2","97.46","3","not out","2","v England","Ranchi","19-Jan-13","W","not out","",""
"26","44","33","3","0","78.78","3","caught","2","v England","Mohali","23-Jan-13","W","caught","JC Tredwell","JC Tredwell"
"31","46","41","2","0","75.6","3","caught","1","v South Africa","Cardiff","6-Jun-13","W","caught","HM Amla","LL Tsotsobe"
"22","18","18","4","0","122.22","3","bowled","2","v West Indies","The Oval","11-Jun-13","W","bowled","","SP Narine"
"22","36","27","3","0","81.48","3","not out","2","v Pakistan","Birmingham","15-Jun-13","W","not out","",""
"58","80","64","4","1","90.62","3","not out","2","v Sri Lanka","Cardiff","20-Jun-13","W","not out","",""
"43","66","34","4","1","126.47","3","caught","1","v England","Birmingham","23-Jun-13","W","caught","RS Bopara","JM Anderson"
"102","120","83","13","2","122.89","3","caught","1","v West Indies","Port of Spain","5-Jul-13","W","caught","DJG Sammy","DJ Bravo"
"31","62","52","4","0","59.61","3","lbw","1","v Sri Lanka","Port of Spain","9-Jul-13","W","lbw","","HMRKB Herath"
"2","8","5","0","0","40","3","caught","2","v Sri Lanka","Port of Spain","11-Jul-13","W","caught","KC Sangakkara","RMS Eranga"
"115","133","108","13","1","106.48","3","caught","2","v Zimbabwe","Harare","24-Jul-13","W","caught","V Sibanda","P Utseya"
"14","35","18","2","0","77.77","3","caught","1","v Zimbabwe","Harare","26-Jul-13","W","caught","MN Waller","KM Jarvis"
"68","128","88","5","1","77.27","3","not out","2","v Zimbabwe","Harare","28-Jul-13","W","not out","",""
"-","-","-","-","-","-","-","-","2","v Zimbabwe","Bulawayo","1-Aug-13","W","DNB","",""
"-","-","-","-","-","-","-","-","2","v Zimbabwe","Bulawayo","3-Aug-13","W","DNB","",""
"100","82","52","8","7","192.3","3","not out","2","v Australia","Jaipur","16-Oct-13","W","not out","",""
"115","104","66","18","1","174.24","3","not out","2","v Australia","Nagpur","30-Oct-13","W","not out","",""
"0","4","3","0","0","0","3","run out","1","v Australia","Bengaluru","2-Nov-13","W","run out","",""
"86","120","84","9","2","102.38","3","caught","2","v West Indies","Kochi","21-Nov-13","W","caught","SP Narine","JO Holder"
"19","19","18","3","0","105.55","3","caught","2","v West Indies","Kanpur","27-Nov-13","W","caught","J Charles","R Rampaul"
"136","157","122","16","2","111.47","3","bowled","2","v Bangladesh","Fatullah","26-Feb-14","W","bowled","","Rubel Hossain"
"-","-","-","-","-","-","-","-","2","v Afghanistan","Dhaka","5-Mar-14","W","DNB","",""
"0","1","3","0","0","0","3","caught","1","v England","Cardiff","27-Aug-14","W","caught","AN Cook","CR Woakes"
"40","67","50","2","1","80","3","caught","2","v England","Nottingham","30-Aug-14","W","caught","JC Tredwell","BA Stokes"
"1","9","3","0","0","33.33","3","not out","2","v England","Birmingham","2-Sep-14","W","not out","",""
"62","124","78","5","0","79.48","4","caught","1","v West Indies","Delhi","11-Oct-14","W","caught","MN Samuels","R Rampaul"
"127","164","114","13","3","111.4","3","run out","1","v West Indies","Dharamsala","17-Oct-14","W","run out","",""
"22","34","21","2","0","104.76","4","caught","1","v Sri Lanka","Cuttack","2-Nov-14","W","caught","NLTC Perera","S Randiv"
"49","-","44","2","2","111.36","4","caught","2","v Sri Lanka","Ahmedabad","6-Nov-14","W","caught","S Randiv","S Prasanna"
"53","-","61","4","1","86.88","4","caught","2","v Sri Lanka","Hyderabad (Deccan)","9-Nov-14","W","caught","PLS Gamage","TM Dilshan"
"66","109","64","6","0","103.12","4","run out","1","v Sri Lanka","Kolkata","13-Nov-14","W","run out","",""
